NXDOMAIN DATA

manager.paypal.com                                manager.payflow.edge.paypal.com.                  lookup manager.payflow.edge.paypal.com.: getaddrinfow: This is usually a temporary error during hostname resolution and means that the local server did not receive a response from an authoritative server.
api.stage2d0105.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0111.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0105.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0112.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0115.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0121.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0076.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0075.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0076.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0085.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0085.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0095.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0087.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0087.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0079.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0097.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0097.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0079.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0110.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
www.stage2d0110.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
api.stage2d0089.stage.paypal.com                  cei8.stage.paypal.com.                            lookup cei8.stage.paypal.com.: no such host
