NXDOMAIN DATA

de.twitter.com                                    de.twitter.com.                                   lookup de.twitter.com.: no such host
access.twitter.com                                access.twitter.com.                               lookup access.twitter.com.: no such host
twvid.com                                         twvid.com.                                        lookup twvid.com.: no such host
_thirdparty.twitter.com                           _thirdparty.twitter.com.                          lookup _thirdparty.twitter.com.: no such host
e.twitter.com                                     e.twitter.com.                                    lookup e.twitter.com.: no such host
twimg.com                                         twimg.com.                                        lookup twimg.com.: no such host
partnerstream1.twitter.com                        partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host
staging2-partnerstream1.twitter.com               partnerstream1.twitter.com.                       lookup partnerstream1.twitter.com.: no such host


CNAME RECORD DATA

theemawards.twitter.com                           s.twitter.com.                                    104.244.42.131
people.twitter.com                                s.twitter.com.                                    104.244.42.131
help.twitter.com                                  s.twitter.com.                                    104.244.42.131
marchmadness.twitter.com                          s.twitter.com.                                    104.244.42.131
assets4.twitter.com                               static.twitter.com.                               104.244.42.3
td.twitter.com                                    td.twitter.com.                                   104.244.42.68
redbull.twitter.com                               s.twitter.com.                                    104.244.42.131
neptune.twitter.com                               s.twitter.com.                                    104.244.42.131
essence.twitter.com                               s.twitter.com.                                    104.244.42.131
empire.twitter.com                                s.twitter.com.                                    104.244.42.131
moments.twitter.com                               s.twitter.com.                                    104.244.42.131
bloombergmarkets.twitter.com                      s.twitter.com.                                    104.244.42.131
ms5.twitter.com                                   s.twitter.com.                                    104.244.42.131
iem.twitter.com                                   s.twitter.com.                                    104.244.42.131
api-29-0-0.twitter.com                            api-29-0-0.twitter.com.                           69.195.161.128
gaggle.twitter.com                                ghs.google.com.                                   172.217.31.211
spruce-goose-ba.twitter.com                       spruce-goose-ba.twitter.com.                      199.59.150.96
spruce-goose-bu.twitter.com                       spruce-goose-bu.twitter.com.                      199.59.150.116
mta28.e.twitter.com                               mta28.e.twitter.com.                              136.147.183.193
spring-chicken-cc.twitter.com                     spring-chicken-cc.twitter.com.                    199.16.156.137
tyo-api.twitter.com                               tyo-api.twitter.com.                              104.244.45.249
spruce-goose.twitter.com                          spruce-goose.twitter.com.                         199.59.150.64
mta69.e.twitter.com                               mta69.e.twitter.com.                              136.147.183.233
spruce-goose-ai.twitter.com                       spruce-goose-ai.twitter.com.                      199.59.150.78
www.search.twitter.com                            search.twitter.com.                               104.244.42.3
mta73.e.twitter.com                               mta73.e.twitter.com.                              136.147.183.237
spruce-goose-cd.twitter.com                       spruce-goose-cd.twitter.com.                      199.59.150.125
mta27.e.twitter.com                               mta27.e.twitter.com.                              136.147.183.192
mta6.e.twitter.com                                mta6.e.twitter.com.                               136.147.183.171
publish.twitter.com                               publish.twitter.com.                              104.244.42.3
spring-chicken-bj.twitter.com                     spring-chicken-bj.twitter.com.                    199.16.156.175
mta68.e.twitter.com                               mta68.e.twitter.com.                              136.147.183.232
mx3.twitter.com                                   mx3.twitter.com.                                  199.59.148.207
ms.twitter.com                                    ms.twitter.com.                                   199.59.148.91
mta.e.twitter.com                                 mta.e.twitter.com.                                136.147.183.166
spring-chicken-bw.twitter.com                     spring-chicken-bw.twitter.com.                    199.16.156.188
spring-chicken-au.twitter.com                     spring-chicken-au.twitter.com.                    199.16.156.160
spring-chicken-ba.twitter.com                     spring-chicken-ba.twitter.com.                    199.16.156.166
spring-chicken-ca.twitter.com                     spring-chicken-ca.twitter.com.                    199.16.156.135
spring-chicken-aq.twitter.com                     spring-chicken-aq.twitter.com.                    199.16.156.156
spruce-goose-bj.twitter.com                       spruce-goose-bj.twitter.com.                      199.59.150.105
spruce-goose-cb.twitter.com                       spruce-goose-cb.twitter.com.                      199.59.150.123
mta25.e.twitter.com                               mta25.e.twitter.com.                              136.147.183.190
spruce-goose-aa.twitter.com                       spruce-goose-aa.twitter.com.                      199.59.150.70
spruce-goose-aj.twitter.com                       spruce-goose-aj.twitter.com.                      199.59.150.79
facebook3.twitter.com                             facebook3.twitter.com.                            199.59.148.209
spring-chicken-ac.twitter.com                     spring-chicken-ac.twitter.com.                    199.16.156.142
ss.twitter.com                                    ss.twitter.com.                                   199.59.150.10
spring-chicken-bq.twitter.com                     spring-chicken-bq.twitter.com.                    199.16.156.182


NORECORD RECORD DATA

preview.cdn.twitter.com                           
si4.twimg.com                                     
atlc-vpn2-au.net.twitter.com                      
si2.twimg.com                                     
jp.twimg.com                                      
mta39.e.twitter.com                               
mta40.e.twitter.com                               
13.twitter.com                                    
si0.twimg.com                                     
si3.twimg.com                                     
si1.twimg.com                                     
p.twitter.com                                     
mta32.e.twitter.com                               
mta42.e.twitter.com                               
si5.twimg.com                                     
12.twitter.com                                    
api-staging148.smf1.twitter.com                   
nessus4.smf1.twitter.com                          
status1.twitter.com                               
cdn-eb.syndication.twitter.com                    
ton-vine.twitter.com                              
curator.twitter.com                               
en.twitter.com                                    
es.twitter.com                                    
blog.es.twitter.com                               
fr.twitter.com                                    
blog.fr.twitter.com                               
ham-cannon.twitter.com                            
blog.it.twitter.com                               
it.twitter.com                                    
deknisa.twitter.com                               
beta.twitter.com                                  
co.id.twitter.com                                 
platform1.twitter.com                             
platform2.twitter.com                             
netnod-ix-ge-a-sth-1500.twitter.com               
i3.twimg.com                                      
mobile-staging1.twitter.com                       
audubon.nyc1.twitter.com                          
cuckoo-lb.smfc.twitter.com                        
www.mobile.twitter.com                            
eqix-ma-sv5.twitter.com                           
netnod-ix-ge-b-sth-4470.twitter.com               
mta34.e.twitter.com                               
mta30.e.twitter.com                               
mobile-staging5.twitter.com                       
