NXDOMAINS DATA 
spectrum-pd.starbucks.com                                 spectrum-pd.vpc.starbucks.net
certupgpospa2.starbucks.com                                 bigip-certupgpospa2-starbucks.oracle.com
devbi.starbucks.com                                 bigip-devbi-starbucks.oracle.com
certupgpospa1.starbucks.com                                 bigip-certupgpospa1-starbucks.oracle.com
tstcrmapps.starbucks.com                                 tstcrmapps-starbucks.nssb-oracle.com
wfmnaptnpc.starbucks.com                                 s00149tmppcptn.trafficmanager.net
bi-gis-cert.starbucks.com                                 bi-gis.starbucks.com
prodcrmapps.starbucks.com                                 prodcrmapps-starbucks.nssb-oracle.com
ct.spc.starbucks.com                                 sbux-production-ucp-master.apigee.net
trace-psdev.starbucks.com                                 s00174atww2twsps.trafficmanager.net
lstech-asp-sd.starbucks.com                                 lstech-asp-sd.vpc.starbucks.net
sco-asp-sd.starbucks.com                                 sco-asp-sd.vpc.starbucks.net
lstech-asp-pd.starbucks.com                                 lstech-asp-pd.vpc.starbucks.net
CNAME RECORDS DATA 
svcgatewayloadus.starbucks.com                                 s00307ntmp0svcgtwyload0.trafficmanager.net                                 IP13.82.189.7
np.playbuilder.starbucks.com                                 s00314ntmpplaybuilder-ui.trafficmanager.net                                 IP40.118.214.18
svcardproxytestus.starbucks.com                                 s00307ntmp0svcardproxytest0.trafficmanager.net                                 IP137.135.83.14
productioncontroller.starbucks.com                                 3ea6c331-3d03-4ffe-b5c4-43ab7ed25c77.cloudapp.net                                 IP13.91.3.76
prod00.gifts.starbucks.com                                 s00293ppipgift00.eastus.cloudapp.azure.com                                 IP13.72.108.38
lstech-asp-st.starbucks.com                                 s00309-pip-istech.westus.cloudapp.azure.com                                 IP13.64.93.78
mydaily.starbucks.com                                 s00457ptmp000001prod.trafficmanager.net                                 IP51.143.59.82
dev.mfa.starbucks.com                                 s00294tm0mfadev0.trafficmanager.net                                 IP52.224.202.115
ps01.gifts.starbucks.com                                 s00293tpipgift01.westus.cloudapp.azure.com                                 IP23.99.90.104
stag.athome.starbucks.com                                 usqztw6.x.incapdns.net                                 IP45.60.160.130
cardreloadus.starbucks.com                                 s00307ptmp0reload0.trafficmanager.net                                 IP104.211.63.74
bits.starbucks.com                                 dra-proxy-prod.azurewebsites.net                                 IP13.65.45.30
wfmnarptdv.starbucks.com                                 s00149tmpdvrpt.trafficmanager.net                                 IP40.86.96.177
svcardproxyloadus.starbucks.com                                 s00307ntmp0svcardproxyload0.trafficmanager.net                                 IP13.68.136.119
sip-dev.starbucks.com                                 s00188devapssipp.azurewebsites.net                                 IP13.89.245.227
ld01.gifts.starbucks.com                                 s00293lpipgift01.westus.cloudapp.azure.com                                 IP40.112.215.208
mcdn-edge-cert.starbucks.com                                 mcdn-edge-cert.starbucks.com.edgesuite.net                                 IP104.86.189.104,104.86.189.98
stageglobalassets.starbucks.com                                 globalassets.starbucks.com.edgekey.net                                 IP104.108.210.117
p01.productioncontroller-lb.starbucks.com                                 sbp01.westus.cloudapp.azure.com                                 IP13.91.251.94
wfmnapayst.starbucks.com                                 s00149tmpstpay.trafficmanager.net                                 IP40.86.86.144
NO RECORDS DATA 
tmg-starbucks.com                                 NO CNAME ENTRY AVAILABLE
pdx-dev.starbucks.com                                 NO CNAME ENTRY AVAILABLE
ssl946351.cloudflaressl.com                                 NO CNAME ENTRY AVAILABLE
